Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
1705153018,MNQZ5,11/28/2025 11:41:04 -05:00,11/28/2025 11:51:05 -05:00,25406.000000000,25416.250000000,7.40000,205.000000000,10,Long,11/28/2025 00:00:00 -06:00,00:10:01.0666060,
1705153019,MNQZ5,11/28/2025 11:42:40 -05:00,11/28/2025 11:51:05 -05:00,25387.000000000,25416.250000000,3.70000,292.500000000,5,Long,11/28/2025 00:00:00 -06:00,00:08:25.2777600,
1705185259,MNQZ5,11/28/2025 11:42:40 -05:00,11/28/2025 11:55:33 -05:00,25387.000000000,25423.750000000,3.70000,367.500000000,5,Long,11/28/2025 00:00:00 -06:00,00:12:53.5563080,
